id;name;opaque_type;opaque_type_name;Boundary (only vdi);material_1_id;material_2_id;material_3_id;material_4_id;material_5_id;material_6_id;material_7_id;material_8_id;material_9_id;material_10_id
1;Wooden roof/No insulation;1.0;Roof;Asim;2;1;;;;;;;;
2;Stone Masonry;2.0;ExtWall;Asim;3;5;4.0;;;;;;;
3;Concrete ground slab;3.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
4;Beams-wooden slab (6 cm+20 cm);4.0;IntCeiling;Sim;12;10;9.0;11.0;4.0;;;;;
5;Hollow tiles and plaster (6 cm);5.0;IntWall;Sim;14;13;14.0;;;;;;;
6;Beams-wooden slab (6 cm+20 cm);6.0;IntCeiling;Sim;4;11;9.0;10.0;12.0;;;;;
7;Wooden roof/No insulation;1.0;Roof;Asim;2;1;;;;;;;;
8;Solid Bricks (37.5 cm);2.0;ExtWall;Asim;3;15;4.0;;;;;;;
9;Concrete ground slab;3.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
10;Steel beams and hollow bricks (16 cm);4.0;IntCeiling;Sim;3;50;8.0;12.0;;;;;;
11;Hollow tiles and plaster (6 cm);5.0;IntWall;Sim;14;13;14.0;;;;;;;
12;Steel beams and hollow bricks (16 cm);6.0;IntCeiling;Sim;12;8;50.0;3.0;;;;;;
13;Ceiling with reinforced brick-concrete slab (20 cm);1.0;Roof;Asim;20;19;18.0;17.0;16.0;4.0;;;;
14;Hollow wall brick masonry (12-5-8);2.0;ExtWall;Asim;3;23;22.0;21.0;4.0;;;;;
15;Cinder blocks (30 cm);2.0;ExtWall;Asim;3;24;4.0;;;;;;;
16;Floor with reinforced concrete slab, traditional screed (12 cm) ;3.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
17;Brick-concrete slab - traditional screed (16 cm+ 10 cm);4.0;IntCeiling;Sim;12;26;27.0;26.0;28.0;3.0;;;;
18;Hollow tiles and plaster (6 cm);5.0;IntWall;Sim;14;13;14.0;;;;;;;
19;Brick-concrete slab - traditional screed (16 cm+ 10 cm);6.0;IntCeiling;Sim;3;28;26.0;27.0;26.0;12.0;;;;
20;Ceiling with reinforced brick-concrete slab (16 cm), trad. screed (12 cm);1.0;Roof;Asim;20;19;18.0;17.0;16.0;4.0;;;;
21;Hollow wall brick masonry (8-6-12);2.0;ExtWall;Asim;3;31;32.0;31.0;4.0;;;;;
22;Cinder blocks with cavity (8-5-15);2.0;ExtWall;Asim;29;22;21.0;4.0;;;;;;
23;Floor with reinforced concrete slab, traditional screed (12 cm);4.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
24;Brick-concrete slab - lightweight screed (6 cm);4.0;IntCeiling;Sim;12;26;33.0;26.0;28.0;3.0;;;;
25;Hollow tiles and plaster (6 cm);5.0;IntWall;Sim;14;13;14.0;;;;;;;
26;Brick-concrete slab - lightweight screed (6 cm);6.0;IntCeiling;Sim;3;28;26.0;33.0;26.0;12.0;;;;
27;Ceiling with reinforced brick-concrete slab (16 cm + 12 cm);1.0;Roof;Asim;20;19;18.0;17.0;16.0;4.0;;;;
28;Hollow/solid bricks with cavity (12-8-12);2.0;ExtWall;Asim;3;31;30.0;31.0;4.0;;;;;
29;Precast Reinforced concrete wall,slightly insulated (1-3-25);2.0;ExtWall;Asim;3;36;37.0;38.0;4.0;;;;;
30;Floor with reinforced concrete slab, traditional screed (12 cm);3.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
31;Brick-concrete slab - traditional screed (16 cm+ 10 cm);4.0;IntCeiling;Sim;12;26;39.0;26.0;17.0;28.0;3.0;;;
32;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
33;Brick-concrete slab - traditional screed (16 cm+ 10 cm);6.0;IntCeiling;Sim;3;28;17.0;26.0;39.0;26.0;12.0;;;
34;Ceiling with reinforced brick-concrete slab (16 cm);1.0;Roof;Asim;40;41;20.0;39.0;26.0;17.0;28.0;4.0;;
35;Hollow bricks with cavity (8-2-25);2.0;ExtWall;Asim;3;34;35.0;21.0;4.0;;;;;
36;Precast Reinforced concrete wall,low insulation (1-6-25);2.0;ExtWall;Asim;3;36;37.0;38.0;4.0;;;;;
37;Floor with reinforced concrete slab, lightweight screed (12 cm);4.0;GroundFloor;Asim;6;7;8.0;12.0;;;;;;
38;Brick-concrete slab - lightweight screed (6 cm);4.0;IntCeiling;Sim;12;26;33.0;26.0;17.0;28.0;3.0;;;
39;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
40;Brick-concrete slab - lightweight screed (6 cm);6.0;IntCeiling;Sim;3;28;17.0;26.0;33.0;26.0;12.0;;;
41;Ceiling with reinforced brick-concrete slab (24 cm);1.0;Roof;Asim;40;41;20.0;39.0;26.0;17.0;43.0;4.0;;
42;Hollow/solid bricks with insulated cavity (25-4-8);2.0;ExtWall;Asim;3;44;45.0;21.0;4.0;;;;;
43;Precast Reinforced concrete wall, low insulation (30 cm + 4 cm);2.0;ExtWall;Asim;3;37;51.0;45.0;4.0;;;;;
44;Floor with reinforced concrete slab, lightweight screed (12 cm);3.0;GroundFloor;Asim;6;46;18.0;12.0;;;;;;
45;Internal Floor with reinforced brick-concrete slab (24 cm), trad. screed (12 cm) - insulation (2 cm);4.0;IntCeiling;Sim;12;26;33.0;26.0;17.0;43.0;3.0;;;
46;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
47;Internal Floor with reinforced brick-concrete slab (24 cm), trad. screed (12 cm) - insulation (2 cm);6.0;IntCeiling;Sim;3;43;17.0;26.0;33.0;26.0;12.0;;;
48;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;47;20.0;39.0;26.0;17.0;43.0;4.0;;
49;Hollow/solid bricks with cavity (8-5-25);2.0;ExtWall;Asim;3;48;54.0;21.0;4.0;;;;;
50;Precast reinforced-concrete wall, low insulation (4 cm);2.0;ExtWall;Asim;3;37;51.0;45.0;4.0;;;;;
51;Floor with reinforced concrete slab, lightweight screed - insulation (5 cm);3.0;GroundFloor;Asim;6;46;43.0;8.0;12.0;;;;;
52;Brick-concrete slab - lightweight screed (6 cm) - insulation (5 cm);4.0;IntCeiling;Sim;12;26;41.0;33.0;26.0;17.0;43.0;3.0;;
53;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
54;Brick-concrete slab - lightweight screed (6 cm) - insulation (5 cm);6.0;IntCeiling;Sim;3;43;17.0;26.0;33.0;41.0;26.0;12.0;;
55;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 10 cm);1.0;Roof;Asim;40;49;20.0;39.0;26.0;17.0;43.0;4.0;;
56;Perforated bricks and medium insulation (30-10);2.0;ExtWall;Asim;3;49;53.0;4.0;;;;;;
57;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);3.0;GroundFloor;Asim;6;46;49.0;8.0;12.0;;;;;
58;Brick-concrete slab - lightweight screed (12 cm)- insulation (10 cm);4.0;IntCeiling;Sim;12;26;47.0;33.0;26.0;17.0;43.0;3.0;;
59;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
60;Brick-concrete slab - lightweight screed (12 cm)- insulation (10 cm);6.0;IntCeiling;Sim;3;43;17.0;26.0;33.0;47.0;26.0;12.0;;
61;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;49;20.0;39.0;26.0;17.0;43.0;4.0;;
62;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;52;53.0;4.0;;;;;;
63;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;49.0;8.0;12.0;;;;;
64;Brick-concrete slab - lightweight screed (12 cm) - insulation (10 cm);4.0;IntCeiling;Sim;12;26;49.0;33.0;26.0;17.0;43.0;3.0;;
65;Hollow tiles and plaster (8 cm);5.0;IntWall;Sim;14;25;14.0;;;;;;;
66;Brick-concrete slab - lightweight screed (12 cm) - insulation (10 cm);6.0;IntCeiling;Sim;3;43;17.0;26.0;33.0;49.0;26.0;12.0;;
67;Stone Masonry 50 cm;2.0;ExtWall;Asim;3;55;4.0;;;;;;;
68;Stone Bricks Masonary 25 cm;2.0;ExtWall;Asim;3;56;4.0;;;;;;;
69;Stone Bricks Masonary 38 cm;2.0;ExtWall;Asim;3;57;4.0;;;;;;;
70;Stone Bricks Masonary 51 cm;2.0;ExtWall;Asim;3;58;4.0;;;;;;;
71;Stone Bricks Masonary 64 cm;2.0;ExtWall;Asim;3;59;4.0;;;;;;;
72;Stone Bricks Masonary 25 cm low ins ;2.0;ExtWall;Asim;3;56;4.0;41.0;;;;;;
73;Stone Bricks Masonary 25 cm medium ins;2.0;ExtWall;Asim;3;56;4.0;47.0;;;;;;
74;Stone Bricks Masonary 25 cm medium ins;2.0;ExtWall;Asim;3;56;4.0;52.0;;;;;;
75;Solid Bricks (12 cm);3.0;ExtWall;Asim;3;60;4.0;;;;;;;
76;Cinder blocks (20 cm);1.0;ExtWall;Asim;3;61;4.0;;;;;;;
AEW;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;2007;53.0;4.0;;;;;;
AR;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;2010;20.0;39.0;26.0;17.0;43.0;4.0;;
AGF;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;2008.0;8.0;12.0;;;;;
CEW;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;2008;53.0;4.0;;;;;;
CR;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;2010;20.0;39.0;26.0;17.0;43.0;4.0;;
CGF;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;2009.0;8.0;12.0;;;;;
DEW;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;2009;53.0;4.0;;;;;;
DR;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;2014;20.0;39.0;26.0;17.0;43.0;4.0;;
DGF;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;2011.0;8.0;12.0;;;;;
EEW;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;2011;53.0;4.0;;;;;;
ER;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;2015;20.0;39.0;26.0;17.0;43.0;4.0;;
EGF;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;2012.0;8.0;12.0;;;;;
FEW;Brick blocks ad external high insulation (2-30-15-2);2.0;ExtWall;Asim;3;2013;53.0;4.0;;;;;;
FR;Ceiling with reinforced brick-concrete slab, insulated (24 cm + 5 cm);1.0;Roof;Asim;40;2017;20.0;39.0;26.0;17.0;43.0;4.0;;
FGF;Floor with reinforced concrete slab, lightweight screed (12 cm) - insulation (10 cm);;GroundFloor;Asim;6;46;2013.0;8.0;12.0;;;;;
