id;name;type;Roof;GroundFloor;IntCeiling;ExtWall;IntWall;Window;Unnamed: 9;Unnamed: 10
1;1;Before 1930  - Stone -  MetalFrame;1;3;4;2;5;1;;
2;2;Before 1930  - Concrete -  MetalFrame;1;3;4;76;5;1;; 
3;3;Before 1930  - Bricks -  MetalFrame;1;3;4;75;5;1;; 
4;4;Before 1930  - Stone -  WoodFrame;1;3;4;2;5;2;; 
5;5;Before 1930  - Concrete -  WoodFrame;1;3;4;76;5;2;; 
6;6;Before 1930  - Bricks -  WoodFrame;1;3;4;75;5;2;; 
7;7;1930-1945  - Bricks -  MetalFrame;7;9;10;8;11;1;; 
8;8;1930-1945  - Concrete -  MetalFrame;7;9;10;15;11;1;; 
9;9;1930-1945  - Stone -  MetalFrame;7;9;10;69;11;1;; 
10;10;1930-1945  - Bricks -  WoodFrame;7;9;10;8;11;2;;
11;11;1930-1945  - Concrete -  WoodFrame;7;9;10;15;11;2;;
12;12;1930-1945  - Stone -  WoodFrame;7;9;10;69;11;2;;
13;13;1945-1960  - Bricks -  WoodFrame;13;16;17;14;18;2;;
14;14;1945-1960  - Concrete -  WoodFrame;13;16;17;22;18;2;;
15;15;1945-1960  - Stone -  WoodFrame;13;16;17;70;18;2;;
16;16;1945-1960  - Bricks -  MetalFrame;13;16;17;14;18;1;;
17;17;1945-1960  - Concrete -  MetalFrame;13;16;17;22;18;1;;
18;18;1945-1960  - Stone -  MetalFrame;13;16;17;70;18;1;;
19;19;1961-1970  - Bricks -  WoodFrame;20;23;24;21;25;2;;
20;20;1961-1970  - Concrete -  WoodFrame;20;23;24;22;25;2;;
21;21;1961-1970  - Stone -  WoodFrame;20;23;24;71;25;2;;
22;22;1961-1970  - Bricks -  MetalFrame;20;23;24;21;25;3;;
23;23;1961-1970  - Concrete -  MetalFrame;20;23;24;22;25;3;;
24;24;1961-1970  - Stone -  MetalFrame;20;23;24;71;25;3;;
25;25;1971-1980  - Bricks -  MetalFrame;27;30;31;28;32;3;;
26;26;1971-1980  - Concrete -  MetalFrame;27;30;31;29;32;3;;
27;27;1971-1980  - Stone -  MetalFrame;27;30;31;71;32;3;;
28;28;1971-1980  - Bricks -  WoodFrame;27;30;31;28;32;7;;
29;29;1971-1980  - Concrete -  WoodFrame;27;30;31;29;32;7;;
30;30;1971-1980  - Stone -  WoodFrame;27;30;31;71;32;7;;
31;31;1981-1990  - Bricks -  MetalFrame;34;37;38;35;39;3;;
32;32;1981-1990  - Concrete -  MetalFrame;34;37;38;36;39;3;;
33;33;1981-1990  - Stone -  MetalFrame;34;37;38;73;39;3;;
34;34;1981-1990  - Bricks -  WoodFrame;34;37;38;35;39;7;;
35;35;1981-1990  - Concrete -  WoodFrame;34;37;38;36;39;7;;
36;36;1981-1990  - Stone -  WoodFrame;34;37;38;73;39;7;;
37;37;1991-2000  - Bricks -  MetalFrame;41;44;45;42;46;4;;
38;38;1991-2000  - Concrete -  MetalFrame;41;44;45;36;46;4;;
39;39;1991-2000  - Stone -  MetalFrame;41;44;45;73;46;4;;
40;40;1991-2000  - Bricks -  WoodFrame;41;44;45;42;46;7;;
41;41;1991-2000  - Concrete -  WoodFrame;41;44;45;36;46;7;;
42;42;1991-2000  - Stone -  WoodFrame;41;44;45;73;46;7;;
43;43;2000-2005  - Bricks -  MetalFrame;48;51;52;49;53;4;;
44;44;2000-2005  - Concrete -  MetalFrame;48;51;52;43;53;4;;
45;45;2000-2005  - Stone -  MetalFrame;48;51;52;73;53;4;;
46;46;2000-2005  - Bricks -  WoodFrame;48;51;52;49;53;7;;
47;47;2000-2005  - Concrete -  WoodFrame;48;51;52;43;53;7;;
48;48;2000-2005  - Stone -  WoodFrame;48;51;52;73;53;7;;
49;49;2005-2010  - Bricks -  WoodFrame;55;57;58;56;59;5;;
50;50;2005-2010  - Concrete -  WoodFrame;55;57;58;56;59;5;;
51;51;2005-2010  - Stone -  WoodFrame;55;57;58;74;59;5;;
52;52;2005-2010  - Bricks -  MetalFrame;55;57;58;56;59;8;;
53;53;2005-2010  - Concrete -  MetalFrame;55;57;58;56;59;8;;
54;54;2005-2010  - Stone -  MetalFrame;55;57;58;74;59;8;;
55;55;After 2010  - Bricks -  WoodFrame;61;63;64;62;65;6;;
56;56;After 2010  - Concrete -  WoodFrame;61;63;64;56;65;6;;
57;57;After 2010  - Stone -  WoodFrame;61;63;64;74;65;6;;
58;58;After 2010  - Bricks -  MetalFrame;61;63;64;62;65;8;;
59;59;After 2010  - Concrete -  MetalFrame;61;63;64;56;65;8;;
60;60;After 2010  - Stone -  MetalFrame;61;63;64;74;65;8;;
61;RMA;ReqMinimi Classe A;AR;AGF;64;AEW;65;A Win;;
62;RMC;ReqMinimi Classe C;CR;CGF;64;CEW;65;C Win;;
63;RMD;ReqMinimi Classe D;DR;DGF;64;DEW;65;D Win;;
64;RME;ReqMinimi Classe E;ER;EGF;64;EEW;65;E Win;;
65;RMF;ReqMinimi Classe F;FR;FGF;64;FEW;65;F Win;;
