id;name;Material;thickness;conductivity;density;specific_heat;thermal absorptance;Resistance
1.0;Wood;Opaque;0.03;0.15;550;1600;0.7;
2.0;Roof Tiles;Opaque;0.015;0.575;1800;840;0.9;
3.0;Plaster (external);Opaque;0.02;0.9;1800;910;0.9;
4.0;Plaster (internal);Opaque;0.02;0.7;1400;1000;0.9;
5.0;Stones blocks (wall);Opaque;0.4;2.4;2500;1000;0.7;
6.0;scree (ghiaione);Opaque;0.3;1.2;1700;1000;0.7;
7.0;concrete screed (traditional-10cm);Opaque;0.1;1.16;2000;670;0.7;
8.0;concrete mortar (2 cm);Opaque;0.02;1.4;2000;670;0.7;
9.0;beams and dead-air space;Opaque;0.2;1.11;1.2;1000;0.7;
10.0;wood (6 cm);Opaque;0.06;0.18;710;2700;0.7;
11.0;Plywood;Opaque;0.01;0.1;450;1000;0.7;
12.0;Gres (internal floor coating);Opaque;0.015;1.47;1700;1000;0.7;
13.0;Hollow tile (6 cm);Opaque;0.06;0.694;600;1000;0.7;
14.0;Plaster (internal wall);Opaque;0.015;0.7;1400;1010;0.7;
15.0;Solid bricks;Opaque;0.375;0.72;1800;1000;0.7;
16.0;Steel rafter and hollow bricks (16 cm);Opaque;0.16;0.48;900;1000;0.7;
17.0;Reinforced concrete (4 cm);Opaque;0.04;1.4;2400;1000;0.7;
18.0;concrete mortar (3 cm);Opaque;0.03;1.4;2000;1000;0.7;
19.0;concrete screed (traditional-12cm);Opaque;0.12;1.16;2000;670;0.7;
20.0;Water proof coating;Opaque;0.01;0.17;1200;1000;0.8;
21.0;Hollow bricks (8 cm);Opaque;0.08;0.4;800;1000;0.7;
22.0;air gap;NoMass;0.05;0.2777777777777778;1.2;1005;0.7;0.18
23.0;Solid bricks (25 cm);Opaque;0.25;0.72;1800;1000;0.7;
24.0;Cinder Blocks (30 cm);Opaque;0.3;0.5;1800;1000;0.7;
25.0;Hollow tile (8 cm);Opaque;0.08;0.694;600;1000;0.7;
