id;name;U;SHGC;tau_vis;F_f;F_sh;F_so;F_w;wwr_N;wwr_E;wwr_S;wwr_W
1;Single glazing, metal frame without thermal break;5.7;0.82;0.85;0;1;0.9;1;0.125;0.125;0.125;0.125
2;Single glazing, wood frame;4.9;0.82;0.85;0;1;0.9;1;0.125;0.125;0.125;0.125
3;Double glazing, air filled, metal frame without thermal break;3.7;0.7;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
4;Double glazing, air filled, air filled, metal frame with thermal break;3.4;0.7;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
5;Low-e double glazing, air/gas filled, wood frame;2.2;0.27;0.64;0;1;0.9;1;0.125;0.125;0.125;0.125
6;Low-e double glazing, air/gas filled, wood frame;2.0;0.27;0.64;0;1;0.9;1;0.125;0.125;0.125;0.125
7;Double glass, air filled, wood frame;2.8;0.75;0.82;0;1;0.9;1;0.125;0.125;0.125;0.125
8;ASH_A-17.13b;2.33;0.7;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
A Win;A Win;3.0;0.39;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
C Win;C Win;2.0;0.39;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
D Win;D Win;1.8;0.39;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
E Win;E Win;1.4;0.39;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
F Win;F Win;1.0;0.39;0.79;0;1;0.9;1;0.125;0.125;0.125;0.125
