max_age,min_age,number,studio_ind,identi,loneliness,generation,segment,new1,new2
73,73,1,0.8571428571428571,1,63.0,82.27,Cluster 4,63.0,85.71428571428571
64,11,3,0.7142857142857143,2,20.75,75.87,Cluster 2,-5.75,71.42857142857143
83,80,2,0.4761904761904761,3,62.25,101.18,Cluster 1,60.75,47.61904761904761
71,63,2,0.3809523809523809,4,49.0,87.65,Cluster 1,45.0,38.09523809523809
82,82,1,0.5714285714285714,5,72.0,91.18,Cluster 1,72.0,57.14285714285714
70,70,1,0.5714285714285714,6,60.0,79.30000000000001,Cluster 1,60.0,57.14285714285714
64,40,2,0.5714285714285714,7,38.0,75.44,Cluster 5,26.0,57.14285714285714
83,51,3,0.6349206349206349,8,45.0,101.61,Cluster 3,29.0,63.49206349206349
74,40,3,0.8571428571428571,10,35.5,92.04,Cluster 4,18.5,85.71428571428571
60,20,4,0.8095238095238095,11,10.0,86.2,Cluster 2,-10.0,80.95238095238095
74,61,2,0.7142857142857142,12,50.75,88.97,Cluster 4,44.25,71.42857142857142
80,80,1,0.5714285714285714,13,70.0,89.2,Cluster 1,70.0,57.14285714285714
50,50,1,0.8571428571428571,14,40.0,59.5,Cluster 4,40.0,85.71428571428571
61,23,2,0.9285714285714286,15,31.5,67.85000000000001,Cluster 2,12.5,92.85714285714286
81,81,1,0.5714285714285714,16,71.0,90.19,Cluster 1,71.0,57.14285714285714
82,74,2,0.7142857142857142,17,60.0,98.54,Cluster 4,56.0,71.42857142857142
54,54,1,0.5714285714285714,18,44.0,63.46,Cluster 5,44.0,57.14285714285714
70,70,1,0.5714285714285714,19,60.0,79.30000000000001,Cluster 1,60.0,57.14285714285714
72,70,2,0.6190476190476191,20,51.5,90.62,Cluster 1,50.5,61.904761904761905
84,80,2,0.4761904761904761,21,63.0,101.84,Cluster 1,61.0,47.61904761904761
64,23,3,0.8571428571428571,22,23.75,79.83000000000001,Cluster 2,3.25,85.71428571428571
84,84,1,0.3809523809523809,23,74.0,93.16000000000001,Cluster 1,74.0,38.09523809523809
70,64,2,0.4761904761904761,24,48.5,87.32000000000001,Cluster 1,45.5,47.61904761904761
81,74,2,0.5714285714285714,25,59.25,97.88,Cluster 1,55.75,57.14285714285714
74,70,2,0.5714285714285714,26,53.0,91.94,Cluster 1,51.0,57.14285714285714
70,70,1,0.5714285714285714,27,60.0,79.30000000000001,Cluster 1,60.0,57.14285714285714
72,70,2,0.5714285714285714,28,51.5,90.62,Cluster 1,50.5,57.14285714285714
50,31,4,0.5,29,5.25,83.23,Cluster 3,-4.25,50.0
80,70,3,0.5079365079365079,30,47.5,105.9,Cluster 1,42.5,50.79365079365079
62,54,2,0.4761904761904761,31,40.0,78.74000000000001,Cluster 5,36.0,47.61904761904761
64,33,4,0.6825396825396826,32,16.25,93.13,Cluster 3,0.75,68.25396825396825
41,41,1,0.5714285714285714,33,31.0,50.59,Cluster 5,31.0,57.14285714285714
72,72,1,0.8571428571428571,34,62.0,81.28,Cluster 4,62.0,85.71428571428571
63,61,2,0.5714285714285714,35,42.5,81.71000000000001,Cluster 5,41.5,57.14285714285714
73,73,1,0.5714285714285714,37,63.0,82.27,Cluster 1,63.0,57.14285714285714
63,60,2,0.8095238095238095,38,42.25,81.38000000000001,Cluster 4,40.75,80.95238095238095
82,82,1,0.5714285714285714,39,72.0,91.18,Cluster 1,72.0,57.14285714285714
41,40,2,0.7619047619047619,40,20.75,60.260000000000005,Cluster 2,20.25,76.19047619047619
52,41,2,0.8571428571428571,41,29.25,67.85,Cluster 2,23.75,85.71428571428571
74,63,3,0.3809523809523809,42,41.25,99.63000000000001,Cluster 1,35.75,38.09523809523809
73,73,2,0.5714285714285714,43,53.0,92.27,Cluster 1,53.0,57.14285714285714
71,70,2,0.5714285714285714,44,50.75,89.96000000000001,Cluster 1,50.25,57.14285714285714
84,81,2,0.7142857142857142,45,63.25,102.17,Cluster 4,61.75,71.42857142857142
83,71,2,0.7142857142857142,46,60.0,98.21000000000001,Cluster 4,54.0,71.42857142857142
83,83,1,0.5714285714285714,47,73.0,92.17,Cluster 1,73.0,57.14285714285714
44,42,2,0.8571428571428571,48,23.5,62.900000000000006,Cluster 2,22.5,85.71428571428571
60,53,2,0.7142857142857142,49,38.25,77.09,Cluster 4,34.75,71.42857142857142
83,83,1,0.3809523809523809,50,73.0,92.17,Cluster 1,73.0,38.09523809523809
71,71,1,0.5714285714285714,51,61.0,80.28999999999999,Cluster 1,61.0,57.14285714285714
73,40,3,0.5396825396825397,54,34.75,91.38,Cluster 3,18.25,53.96825396825397
82,74,2,0.5714285714285714,55,60.0,98.54,Cluster 1,56.0,57.14285714285714
83,80,2,0.5714285714285714,56,62.25,101.18,Cluster 1,60.75,57.14285714285714
80,80,1,0.7619047619047619,57,70.0,89.2,Cluster 4,70.0,76.19047619047619
74,64,2,0.5714285714285714,58,51.5,89.96000000000001,Cluster 1,46.5,57.14285714285714
53,20,4,0.6071428571428571,59,4.75,81.58000000000001,Cluster 2,-11.75,60.71428571428571
52,12,4,0.7857142857142857,60,2.0,78.28,Cluster 2,-18.0,78.57142857142857
72,72,1,0.5714285714285714,61,62.0,81.28,Cluster 1,62.0,57.14285714285714
43,43,1,0.5714285714285714,62,33.0,52.57000000000001,Cluster 5,33.0,57.14285714285714
62,31,3,0.6349206349206349,63,24.25,81.15,Cluster 3,8.75,63.49206349206349
71,70,2,0.5714285714285714,64,50.75,89.96000000000001,Cluster 1,50.25,57.14285714285714
44,42,2,0.8571428571428571,65,23.5,62.900000000000006,Cluster 2,22.5,85.71428571428571
81,60,2,0.1904761904761904,66,55.75,93.26,Cluster 1,45.25,19.04761904761904
74,41,3,0.5079365079365079,67,35.75,92.37,Cluster 3,19.25,50.79365079365079
83,73,2,0.4761904761904761,68,60.5,98.87,Cluster 1,55.5,47.61904761904761
54,13,3,0.7142857142857143,69,13.75,69.93,Cluster 2,-6.75,71.42857142857143
80,80,1,0.5714285714285714,70,70.0,89.2,Cluster 1,70.0,57.14285714285714
74,74,1,0.5714285714285714,71,64.0,83.26,Cluster 1,64.0,57.14285714285714
53,20,4,0.7380952380952381,72,4.75,81.58000000000001,Cluster 2,-11.75,73.80952380952381
64,60,2,0.8571428571428571,73,43.0,82.04,Cluster 4,41.0,85.71428571428571
83,60,2,0.5714285714285714,74,57.25,94.58,Cluster 1,45.75,57.14285714285714
61,41,3,0.5079365079365079,75,26.0,83.79,Cluster 3,16.0,50.79365079365079
63,31,3,0.8095238095238096,76,25.0,81.81,Cluster 2,9.0,80.95238095238096
73,60,2,0.5714285714285714,77,49.75,87.98,Cluster 1,43.25,57.14285714285714
72,62,2,0.4761904761904761,78,49.5,87.98,Cluster 1,44.5,47.61904761904761
74,64,2,0.5714285714285714,79,51.5,89.96000000000001,Cluster 1,46.5,57.14285714285714
81,81,2,0.3809523809523809,80,61.0,100.19,Cluster 1,61.0,38.09523809523809
50,13,4,0.7380952380952381,81,0.75,77.28999999999999,Cluster 2,-17.75,73.80952380952381
40,40,1,0.5714285714285714,82,30.0,49.6,Cluster 5,30.0,57.14285714285714
44,11,3,0.7142857142857143,83,5.75,62.67,Cluster 2,-10.75,71.42857142857143
64,61,2,0.4761904761904761,84,43.25,82.37,Cluster 5,41.75,47.61904761904761
71,50,2,0.4761904761904761,85,45.75,83.36,Cluster 5,35.25,47.61904761904761
61,24,4,0.5714285714285714,86,11.75,88.18,Cluster 3,-6.75,57.14285714285714
74,72,2,0.4761904761904761,87,53.5,92.60000000000001,Cluster 1,52.5,47.61904761904761
82,81,2,0.4761904761904761,88,61.75,100.85000000000001,Cluster 1,61.25,47.61904761904761
83,72,2,0.4761904761904761,89,60.25,98.54,Cluster 1,54.75,47.61904761904761
73,60,2,0.3809523809523809,90,49.75,87.98,Cluster 1,43.25,38.09523809523809
83,72,2,0.5714285714285714,91,60.25,98.54,Cluster 1,54.75,57.14285714285714
81,40,2,0.5714285714285714,93,50.75,86.66,Cluster 1,30.25,57.14285714285714
80,71,2,0.3809523809523809,94,57.75,96.23,Cluster 1,53.25,38.09523809523809
81,81,1,0.3809523809523809,95,71.0,90.19,Cluster 1,71.0,38.09523809523809
84,81,2,0.5714285714285714,96,63.25,102.17,Cluster 1,61.75,57.14285714285714
64,30,3,0.7142857142857143,97,25.5,82.14,Cluster 2,8.5,71.42857142857143
63,32,3,0.5873015873015873,98,25.25,82.14000000000001,Cluster 3,9.75,58.730158730158735
64,61,2,0.6190476190476191,99,43.25,82.37,Cluster 5,41.75,61.904761904761905
84,40,3,0.8571428571428571,100,43.0,98.64,Cluster 4,21.0,85.71428571428571
63,33,3,0.6031746031746031,101,25.5,82.47,Cluster 3,10.5,60.317460317460316
72,60,2,0.5714285714285714,102,49.0,87.32000000000001,Cluster 1,43.0,57.14285714285714
61,61,1,0.5714285714285714,103,51.0,70.39000000000001,Cluster 5,51.0,57.14285714285714
62,50,2,0.7142857142857142,104,39.0,77.42,Cluster 4,33.0,71.42857142857142
84,84,2,0.5714285714285714,105,64.0,103.16000000000001,Cluster 1,64.0,57.14285714285714
60,60,1,0.5714285714285714,106,50.0,69.4,Cluster 5,50.0,57.14285714285714
73,72,2,0.4761904761904761,107,52.75,91.94,Cluster 1,52.25,47.61904761904761
84,83,2,0.8571428571428571,108,63.75,102.83000000000001,Cluster 4,63.25,85.71428571428571
83,83,1,0.3809523809523809,109,73.0,92.17,Cluster 1,73.0,38.09523809523809
83,82,2,0.3809523809523809,110,62.75,101.84,Cluster 1,62.25,38.09523809523809
82,41,2,0.8571428571428571,111,51.75,87.65,Cluster 4,31.25,85.71428571428571
82,82,1,0.5714285714285714,112,72.0,91.18,Cluster 1,72.0,57.14285714285714
80,80,1,0.8571428571428571,113,70.0,89.2,Cluster 4,70.0,85.71428571428571
83,83,2,0.5714285714285714,114,63.0,102.17,Cluster 1,63.0,57.14285714285714
80,80,2,0.4761904761904761,115,60.0,99.2,Cluster 1,60.0,47.61904761904761
53,22,3,0.671957671957672,116,15.25,72.24000000000001,Cluster 2,-0.25,67.1957671957672
81,73,2,0.3809523809523809,117,59.0,97.55,Cluster 1,55.0,38.09523809523809
50,50,1,0.8571428571428571,118,40.0,59.5,Cluster 4,40.0,85.71428571428571
61,61,1,0.3809523809523809,119,51.0,70.39000000000001,Cluster 5,51.0,38.09523809523809
83,83,2,0.4761904761904761,120,63.0,102.17,Cluster 1,63.0,47.61904761904761
81,71,2,0.4761904761904761,121,58.5,96.89,Cluster 1,53.5,47.61904761904761
80,60,3,0.5079365079365079,122,45.0,102.60000000000001,Cluster 1,35.0,50.79365079365079
71,44,2,0.7142857142857142,123,44.25,81.38,Cluster 4,30.75,71.42857142857142
73,73,1,0.8571428571428571,124,63.0,82.27,Cluster 4,63.0,85.71428571428571
73,73,1,0.5714285714285714,125,63.0,82.27,Cluster 1,63.0,57.14285714285714
71,71,1,0.8571428571428571,126,61.0,80.28999999999999,Cluster 4,61.0,85.71428571428571
82,72,2,0.3809523809523809,127,59.5,97.88000000000001,Cluster 1,54.5,38.09523809523809
84,84,1,0.3809523809523809,128,74.0,93.16000000000001,Cluster 1,74.0,38.09523809523809
83,81,2,0.4761904761904761,129,62.5,101.51,Cluster 1,61.5,47.61904761904761
83,80,2,0.5714285714285714,130,62.25,101.18,Cluster 1,60.75,57.14285714285714
43,40,2,0.9285714285714286,131,22.25,61.580000000000005,Cluster 2,20.75,92.85714285714286
62,62,1,0.3809523809523809,132,52.0,71.38,Cluster 5,52.0,38.09523809523809
73,54,2,0.5714285714285714,133,48.25,86.0,Cluster 1,38.75,57.14285714285714
73,30,3,0.6772486772486772,134,32.25,88.08,Cluster 3,10.75,67.72486772486772
64,32,2,0.4126984126984127,135,36.0,72.80000000000001,Cluster 5,20.0,41.269841269841265
74,74,1,0.7619047619047619,136,64.0,83.26,Cluster 4,64.0,76.19047619047619
74,74,1,0.5714285714285714,137,64.0,83.26,Cluster 1,64.0,57.14285714285714
63,30,3,0.5396825396825397,138,24.75,81.48,Cluster 3,8.25,53.96825396825397
74,74,2,0.5714285714285714,139,54.0,93.26,Cluster 1,54.0,57.14285714285714
84,84,1,0.5714285714285714,140,74.0,93.16000000000001,Cluster 1,74.0,57.14285714285714
60,53,2,0.5714285714285714,141,38.25,77.09,Cluster 5,34.75,57.14285714285714
70,70,1,0.3809523809523809,142,60.0,79.30000000000001,Cluster 1,60.0,38.09523809523809
81,80,2,0.4761904761904761,143,60.75,99.86,Cluster 1,60.25,47.61904761904761
64,62,2,0.3809523809523809,144,43.5,82.7,Cluster 5,42.5,38.09523809523809
62,60,2,0.4761904761904761,145,41.5,80.72,Cluster 5,40.5,47.61904761904761
74,70,2,0.5714285714285714,146,53.0,91.94,Cluster 1,51.0,57.14285714285714
74,74,1,0.8571428571428571,147,64.0,83.26,Cluster 4,64.0,85.71428571428571
74,74,2,0.7142857142857142,148,54.0,93.26,Cluster 4,54.0,71.42857142857142
53,53,1,0.3809523809523809,151,43.0,62.470000000000006,Cluster 5,43.0,38.09523809523809
64,21,3,0.5873015873015873,152,23.25,79.17,Cluster 3,1.75,58.730158730158735
72,60,2,0.4761904761904761,153,49.0,87.32000000000001,Cluster 1,43.0,47.61904761904761
74,71,2,0.3809523809523809,154,53.25,92.27000000000001,Cluster 1,51.75,38.09523809523809
80,80,1,0.5714285714285714,155,70.0,89.2,Cluster 1,70.0,57.14285714285714
70,70,1,0.5714285714285714,156,60.0,79.30000000000001,Cluster 1,60.0,57.14285714285714
80,70,2,0.5714285714285714,157,57.5,95.9,Cluster 1,52.5,57.14285714285714
52,13,3,0.7142857142857143,158,12.25,68.61,Cluster 2,-7.25,71.42857142857143
82,72,2,0.2857142857142857,159,59.5,97.88000000000001,Cluster 1,54.5,28.57142857142857
54,14,4,0.9285714285714286,160,4.0,80.25999999999999,Cluster 2,-16.0,92.85714285714286
83,72,2,0.3809523809523809,162,60.25,98.54,Cluster 1,54.75,38.09523809523809
74,21,4,0.9285714285714286,163,20.75,95.77000000000001,Cluster 2,-5.75,92.85714285714286
81,81,1,0.7619047619047619,164,71.0,90.19,Cluster 4,71.0,76.19047619047619
71,71,1,0.3809523809523809,165,61.0,80.28999999999999,Cluster 1,61.0,38.09523809523809
81,14,5,0.8063492063492064,166,14.25,108.08,Cluster 3,-19.25,80.63492063492063
81,72,2,0.3809523809523809,167,58.75,97.22,Cluster 1,54.25,38.09523809523809
73,64,2,0.4761904761904761,168,50.75,89.3,Cluster 1,46.25,47.61904761904761
81,71,2,0.3809523809523809,169,58.5,96.89,Cluster 1,53.5,38.09523809523809
84,60,2,0.4761904761904761,170,58.0,95.24000000000001,Cluster 1,46.0,47.61904761904761
60,31,3,0.4761904761904761,171,22.75,79.83,Cluster 5,8.25,47.61904761904761
82,70,2,0.4761904761904761,172,59.0,97.22,Cluster 1,53.0,47.61904761904761
71,61,2,0.8571428571428571,173,48.5,86.99000000000001,Cluster 4,43.5,85.71428571428571
74,74,2,0.8571428571428571,174,54.0,93.26,Cluster 4,54.0,85.71428571428571
51,13,4,0.7380952380952381,175,1.5,77.95,Cluster 2,-17.5,73.80952380952381
41,40,2,0.7142857142857142,176,20.75,60.260000000000005,Cluster 2,20.25,71.42857142857142
83,82,2,0.3809523809523809,177,62.75,101.84,Cluster 1,62.25,38.09523809523809
33,30,2,0.6666666666666666,178,12.25,51.68,Cluster 2,10.75,66.66666666666666
82,80,2,0.5714285714285714,179,61.5,100.52000000000001,Cluster 1,60.5,57.14285714285714
62,23,3,0.8095238095238094,180,22.25,78.51,Cluster 2,2.75,80.95238095238095
80,80,2,0.4761904761904761,181,60.0,99.2,Cluster 1,60.0,47.61904761904761
72,40,3,0.5714285714285714,182,34.0,90.72,Cluster 3,18.0,57.14285714285714
72,70,2,0.5714285714285714,183,51.5,90.62,Cluster 1,50.5,57.14285714285714
42,42,1,0.8571428571428571,184,32.0,51.580000000000005,Cluster 2,32.0,85.71428571428571
84,80,2,0.5714285714285714,185,63.0,101.84,Cluster 1,61.0,57.14285714285714
80,80,1,0.5714285714285714,186,70.0,89.2,Cluster 1,70.0,57.14285714285714
63,31,3,0.4973544973544974,187,25.0,81.81,Cluster 3,9.0,49.73544973544974
82,51,4,0.3809523809523809,188,34.25,110.95,Cluster 3,18.75,38.09523809523809
61,61,1,0.3809523809523809,189,51.0,70.39000000000001,Cluster 5,51.0,38.09523809523809
73,73,2,0.5714285714285714,190,53.0,92.27,Cluster 1,53.0,57.14285714285714
60,24,4,0.7579365079365079,191,11.0,87.52000000000001,Cluster 2,-7.0,75.79365079365078
84,83,2,0.4761904761904761,192,63.75,102.83000000000001,Cluster 1,63.25,47.61904761904761
83,81,2,0.3809523809523809,193,62.5,101.51,Cluster 1,61.5,38.09523809523809
80,40,3,0.4444444444444444,194,40.0,96.0,Cluster 1,20.0,44.44444444444444
84,84,1,0.5714285714285714,196,74.0,93.16000000000001,Cluster 1,74.0,57.14285714285714
70,70,1,0.3809523809523809,197,60.0,79.30000000000001,Cluster 1,60.0,38.09523809523809
72,64,2,0.5714285714285714,198,50.0,88.64,Cluster 1,46.0,57.14285714285714
60,60,1,0.5714285714285714,199,50.0,69.4,Cluster 5,50.0,57.14285714285714
82,32,3,0.7142857142857143,200,39.5,94.68,Cluster 4,14.5,71.42857142857143
63,63,1,0.5714285714285714,201,53.0,72.37,Cluster 5,53.0,57.14285714285714
84,80,2,0.5714285714285714,202,63.0,101.84,Cluster 1,61.0,57.14285714285714
84,84,1,0.5714285714285714,203,74.0,93.16000000000001,Cluster 1,74.0,57.14285714285714
