,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
0,3,appartamento in edificio medio,Abbastanza isolata,44,202,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,7,0,14,0,389,0,0,0
1,1,appartamento in edificio medio,Abbastanza isolata,36,116,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,4,0,8,0,889,0,0,0
2,0,appartamento in edificio medio,Ben isolata,11,80,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,8,0,12,0,289,0,0,0
3,0,appartamento in edificio medio,Poco isolata,134,139,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,689,0,0,0
4,0,appartamento in edificio piccolo,Abbastanza isolata,29,114,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,2,3,6,0,489,0,0,0
5,0,appartamento in edificio piccolo,Abbastanza isolata,76,76,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,0,3,2,5,0,289,0,0,0
6,2,appartamento in edificio medio,Poco isolata,143,229,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,0,10,0,1089,0,0,0
7,0,appartamento in edificio medio,Poco isolata,119,142,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,5,0,8,1,1089,5,3,9
8,3,appartamento in edificio medio,Abbastanza isolata,74,138,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,5,2,9,0,489,1,3,4
9,1,casa unifamiliare,Ben isolata,52,231,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,4,0,10,0,689,0,0,0
10,3,appartamento in edificio piccolo,Ben isolata,119,131,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,6,0,11,0,389,0,0,0
11,0,appartamento in edificio medio,Ben isolata,118,92,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,0,10,0,789,3,0,3
12,3,appartamento in edificio medio,Abbastanza isolata,45,109,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,8,1,14,0,289,0,0,0
13,1,appartamento in edificio medio,Abbastanza isolata,51,107,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,2,1,5,0,1089,0,8,8
14,0,appartamento in edificio piccolo,Ben isolata,60,238,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,1,1,3,0,389,0,0,0
15,3,appartamento in edificio medio,Abbastanza isolata,145,138,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,389,4,0,4
16,2,appartamento in edificio medio,Poco isolata,61,74,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,389,3,4,7
17,0,appartamento in edificio medio,Abbastanza isolata,68,106,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,1,1,3,0,289,0,0,0
18,0,appartamento in edificio medio,Ben isolata,61,125,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,6,2,13,0,389,0,0,0
19,0,appartamento in edificio medio,Ben isolata,51,61,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,389,0,0,0
20,1,appartamento in edificio medio,Abbastanza isolata,51,96,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,4,1,10,0,1089,2,1,3
21,0,appartamento in edificio piccolo,Abbastanza isolata,44,119,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,5,1,13,0,389,0,0,0
22,0,appartamento in edificio medio,Non isolata,68,72,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,1,11,0,289,0,0,0
23,0,appartamento in edificio medio,Ben isolata,41,117,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,4,0,10,0,289,0,0,0
24,0,appartamento in edificio medio,Ben isolata,53,100,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,8,0,13,0,389,0,0,0
25,0,appartamento in edificio medio,Abbastanza isolata,60,62,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,3,1,7,0,289,0,0,0
26,0,appartamento in edificio grande,Non isolata,44,80,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,7,0,14,0,489,0,0,0
27,1,appartamento in edificio piccolo,Abbastanza isolata,98,107,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,6,0,11,0,589,0,0,0
28,0,appartamento in edificio medio,Abbastanza isolata,44,50,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,1089,0,0,0
29,2,appartamento in edificio medio,Ben isolata,47,68,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,8,5,0,13,0,689,0,0,0
30,1,appartamento in edificio piccolo,Ben isolata,74,60,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,4,0,8,0,489,0,0,0
31,2,appartamento in edificio medio,Poco isolata,12,64,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,4,0,6,0,389,0,0,0
32,3,appartamento in edificio grande,Poco isolata,58,75,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,7,3,14,0,289,0,0,0
33,2,appartamento in edificio piccolo,Abbastanza isolata,40,111,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,689,0,0,0
34,0,appartamento in edificio grande,Non isolata,61,47,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,7,0,11,0,389,7,0,7
35,3,appartamento in edificio medio,Abbastanza isolata,35,149,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,3,5,14,0,389,0,0,0
36,0,appartamento in edificio piccolo,Abbastanza isolata,110,127,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,3,0,6,0,389,0,0,0
37,1,appartamento in edificio piccolo,Abbastanza isolata,146,149,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,0,7,0,389,0,0,0
38,1,appartamento in edificio medio,Non isolata,114,133,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,2,1,5,0,589,0,0,0
39,0,appartamento in edificio grande,Non isolata,36,126,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,5,0,8,0,589,0,0,0
40,0,appartamento in edificio piccolo,Abbastanza isolata,63,147,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,8,0,11,0,289,0,0,0
41,0,appartamento in edificio piccolo,Abbastanza isolata,69,63,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,4,0,5,0,489,0,0,0
42,3,appartamento in edificio medio,Abbastanza isolata,102,65,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,3,1,7,0,489,0,0,0
43,3,appartamento in edificio medio,Ben isolata,65,105,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,5,2,10,0,289,0,0,0
44,0,appartamento in edificio piccolo,Abbastanza isolata,113,104,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,5,1,9,0,289,0,0,0
45,1,appartamento in edificio medio,Abbastanza isolata,5,63,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,389,0,0,0
46,3,appartamento in edificio medio,Non isolata,62,56,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,6,2,14,0,389,0,0,0
47,0,appartamento in edificio medio,Abbastanza isolata,38,223,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,489,0,0,0
48,0,appartamento in edificio grande,Abbastanza isolata,49,145,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,389,0,0,0
49,2,casa unifamiliare,Poco isolata,80,64,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,7,0,14,0,1089,0,0,0
50,0,casa unifamiliare,Ben isolata,43,68,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,6,0,9,0,489,0,0,0
51,0,appartamento in edificio piccolo,Abbastanza isolata,57,103,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,0,3,2,5,1,889,3,1,5
52,3,appartamento in edificio piccolo,Non isolata,85,106,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,7,0,14,0,289,0,0,0
53,0,appartamento in edificio piccolo,Non isolata,58,70,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,0,5,1,6,0,389,0,0,0
54,1,appartamento in edificio medio,Non isolata,51,77,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,8,1,12,0,489,0,0,0
55,1,appartamento in edificio medio,Ben isolata,43,67,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,0,13,0,1089,0,0,0
