,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
0,3,appartamento in edificio medio,Abbastanza isolata,47,311,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,7,0,14,0,1876.7496,0,0,0,non_nord_est,primo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-3,HSDR_group52,Zero
1,1,appartamento in edificio medio,Abbastanza isolata,43,91,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,4,0,8,0,3872.639,0,0,0,non_nord_est,secondo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-1,HSDR_group52,Zero
2,0,appartamento in edificio medio,Ben isolata,1,86,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,4,8,0,12,0,7907.343999999999,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
3,0,appartamento in edificio medio,Poco isolata,125,143,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,1369.2738,0,0,0,non_nord_est,primo,SC1,isI1,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
4,0,appartamento in edificio piccolo,Abbastanza isolata,26,97,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,2,3,6,0,1713.205,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio piccolo-0,HSDR_group73,Zero
5,0,appartamento in edificio piccolo,Abbastanza isolata,67,76,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,0,3,2,5,0,873.8182999999998,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio piccolo-0,HSDR_group73,Zero
6,2,appartamento in edificio medio,Poco isolata,140,332,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,0,10,0,2448.8540000000003,0,0,0,non_nord_est,primo,SC2,isI1,SR0,Nord,Nord_Ovest-appartamento in edificio medio-2,HSDR_group63,Zero
7,0,appartamento in edificio medio,Poco isolata,132,148,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,5,0,8,1,3595.6714,5,3,9,non_nord_est,primo,SC1,isI1,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
8,3,appartamento in edificio medio,Abbastanza isolata,76,137,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,5,2,9,0,2798.2883,1,3,4,non_nord_est,primo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-3,HSDR_group52,Zero
9,1,casa unifamiliare,Ben isolata,44,367,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,4,0,10,0,2738.1078,0,0,0,non_nord_est,secondo,SC5,isI0,SR1,Nord,Nord_Ovest-casa unifamiliare-1,HSDR_group75,Zero
10,3,appartamento in edificio piccolo,Ben isolata,135,149,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,6,0,11,0,1679.2943999999998,0,0,0,non_nord_est,primo,SC4,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio piccolo-3,HSDR_group63,Zero
11,0,appartamento in edificio medio,Ben isolata,144,97,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,0,10,0,2419.4688,3,0,3,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
12,3,appartamento in edificio medio,Abbastanza isolata,45,90,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,8,1,14,0,1507.4598999999996,0,0,0,non_nord_est,primo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-3,HSDR_group52,Zero
13,1,appartamento in edificio medio,Abbastanza isolata,53,104,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,2,2,1,5,0,2519.1377,0,8,8,non_nord_est,secondo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-1,HSDR_group52,Zero
14,0,appartamento in edificio piccolo,Ben isolata,63,151,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,1,1,3,0,8504.040900000002,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio piccolo-0,HSDR_group73,Zero
15,3,appartamento in edificio medio,Abbastanza isolata,141,121,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,2204.9252,4,0,4,non_nord_est,primo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-3,HSDR_group52,Zero
16,2,appartamento in edificio medio,Poco isolata,62,67,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,4,1,8,0,1486.0636,3,4,7,non_nord_est,primo,SC2,isI1,SR0,Nord,Nord_Ovest-appartamento in edificio medio-2,HSDR_group63,Zero
17,0,appartamento in edificio medio,Abbastanza isolata,84,110,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,1,1,1,3,0,1472.5579,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
18,0,appartamento in edificio medio,Ben isolata,63,131,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,6,2,13,0,2047.6616,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
19,0,appartamento in edificio medio,Ben isolata,53,89,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,7,1,14,0,1430.3304,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
20,1,appartamento in edificio medio,Abbastanza isolata,49,97,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,4,1,10,0,3197.5622,2,1,3,non_nord_est,secondo,SC0,isI0,SR1,Nord,Nord_Ovest-appartamento in edificio medio-1,HSDR_group52,Zero
21,0,appartamento in edificio piccolo,Abbastanza isolata,49,99,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,7,5,1,13,0,1168.4221999999995,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio piccolo-0,HSDR_group73,Zero
22,0,appartamento in edificio medio,Non isolata,97,88,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,5,1,11,0,2340.6983,0,0,0,non_nord_est,primo,SC1,isI1,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
23,0,appartamento in edificio medio,Ben isolata,38,102,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,6,4,0,10,0,1377.864,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
24,0,appartamento in edificio medio,Ben isolata,52,113,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,5,8,0,13,0,2798.566,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
25,0,appartamento in edificio medio,Abbastanza isolata,58,78,Piemonte,7.77,45.45,Nord_Ovest,30.5,50,-8,2617,3,3,1,7,0,8239.8468,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Nord,Nord_Ovest-appartamento in edificio medio-0,HSDR_group63,Zero
