,age,area,total_number,segment0_number,segment1_number,segment2_number,segment3_number,inter,region,type,isolation,prob0,prob1,prob2,prob3
0,15,40,979,381,259,286,53,600.0,ALL,ALL,ALL,0.3891726251276813,0.26455566905005107,0.29213483146067415,0.054136874361593465
1,20,40,1238,507,319,348,64,800.0,ALL,ALL,ALL,0.4095315024232633,0.25767366720516965,0.28109854604200324,0.051696284329563816
2,25,40,1545,648,377,437,83,1000.0,ALL,ALL,ALL,0.41941747572815535,0.24401294498381876,0.2828478964401295,0.05372168284789644
3,30,40,1883,842,420,514,107,1200.0,ALL,ALL,ALL,0.4471587891662241,0.22304832713754646,0.27296866702071165,0.05682421667551779
4,35,40,2206,1060,440,582,124,1400.0,ALL,ALL,ALL,0.48050770625566636,0.19945602901178605,0.2638259292837715,0.056210335448776065
5,40,40,2451,1230,455,621,145,1600.0,ALL,ALL,ALL,0.5018359853121175,0.18563851489188085,0.2533659730722154,0.05915952672378621
6,45,40,2557,1324,458,618,157,1800.0,ALL,ALL,ALL,0.5177942901838092,0.1791161517403207,0.24168947985921002,0.06140007821666015
7,50,40,2499,1324,419,602,154,2000.0,ALL,ALL,ALL,0.529811924769908,0.1676670668267307,0.24089635854341737,0.06162464985994398
8,55,40,2159,1177,342,508,132,2200.0,ALL,ALL,ALL,0.5451597962019453,0.15840666975451598,0.23529411764705882,0.06113941639647985
9,60,40,1788,1002,269,409,108,2400.0,ALL,ALL,ALL,0.5604026845637584,0.15044742729306487,0.22874720357941836,0.06040268456375839
10,65,40,1374,788,201,301,84,2600.0,ALL,ALL,ALL,0.5735080058224163,0.1462882096069869,0.2190684133915575,0.0611353711790393
11,70,40,963,549,136,218,60,2800.0,ALL,ALL,ALL,0.5700934579439252,0.14122533748701974,0.22637590861889928,0.06230529595015576
12,75,40,665,396,76,157,36,3000.0,ALL,ALL,ALL,0.5954887218045113,0.11428571428571428,0.23609022556390977,0.05413533834586466
13,80,40,404,255,36,89,24,3200.0,ALL,ALL,ALL,0.6311881188118812,0.0891089108910891,0.2202970297029703,0.0594059405940594
14,85,40,409,261,37,85,26,3400.0,ALL,ALL,ALL,0.6381418092909535,0.09046454767726161,0.2078239608801956,0.06356968215158924
