prov,Regione,Numero_edifici,Persone_edificio
TO,Piemonte,323823,6.86
VC,Piemonte,49484,3.52
NO,Piemonte,80022,4.51
CN,Piemonte,180051,3.21
AT,Piemonte,69422,3.08
AL,Piemonte,128585,3.28
BI,Piemonte,54737,3.28
VB,Piemonte,58566,2.7
AO,ValledAosta,43220,2.88
IM,Liguria,56070,3.78
SV,Liguria,62058,4.48
GE,Liguria,98917,8.56
SP,Liguria,46423,4.69
VA,Lombardia,164714,5.24
CO,Lombardia,121060,4.8
SO,Lombardia,67654,2.63
MI,Lombardia,221891,13.58
BG,Lombardia,181117,5.93
BS,Lombardia,230812,5.3
PV,Lombardia,137239,3.85
CR,Lombardia,70338,5.01
MN,Lombardia,94231,4.28
LC,Lombardia,63038,5.28
LO,Lombardia,35813,6.2
MB,Lombardia,100733,8.29
BZ,TrentinoAltoAdige,85644,5.69
TN,TrentinoAltoAdige,125292,4.11
VR,Veneto,170674,5.2
VI,Veneto,192710,4.39
BL,Veneto,73717,2.81
TV,Veneto,197782,4.38
VE,Veneto,159646,5.26
PD,Veneto,191641,4.74
RO,Veneto,71106,3.36
UD,FriuliVeneziaGiulia,155995,3.39
GO,FriuliVeneziaGiulia,30760,4.5
TS,FriuliVeneziaGiulia,31174,7.3
PN,FriuliVeneziaGiulia,88434,3.47
PC,EmiliaRomagna,73589,3.83
PR,EmiliaRomagna,89995,4.7
RE,EmiliaRomagna,97691,5.25
MO,EmiliaRomagna,118996,5.71
BO,EmiliaRomagna,123950,7.8
FE,EmiliaRomagna,85410,4.1
RA,EmiliaRomagna,89823,4.24
FC,EmiliaRomagna,76665,5.03
RN,EmiliaRomagna,61690,5.15
MS,Toscana,59749,3.32
LU,Toscana,129556,2.97
PT,Toscana,66399,4.31
FI,Toscana,130796,7.37
LI,Toscana,49381,6.72
PI,Toscana,81202,5.02
AR,Toscana,76585,4.45
SI,Toscana,51862,5.08
GR,Toscana,52166,4.19
PO,Toscana,35803,6.81
PG,Umbria,149566,4.34
TR,Umbria,50373,4.5
PU,Marche,78228,4.6
AN,Marche,83333,5.64
MC,Marche,72500,4.37
AP,Marche,39181,5.33
FM,Marche,38382,4.53
VT,Lazio,75053,4.13
RI,Lazio,65057,2.36
RM,Lazio,393664,9.99
LT,Lazio,121026,4.48
FR,Lazio,146410,3.34
AQ,Abruzzo,112101,2.6
TE,Abruzzo,71235,4.28
PE,Abruzzo,60830,5.14
CH,Abruzzo,104327,3.69
CB,Molise,73035,3.07
IS,Molise,34279,2.51
NA,Campania,292920,10.37
CE,Campania,183983,4.88
BN,Campania,83015,3.4
AV,Campania,125943,3.37
SA,Campania,206447,5.25
FG,Puglia,121666,5.12
BA,Puglia,179776,6.91
TA,Puglia,140651,4.14
BR,Puglia,131768,3.02
LE,Puglia,316282,2.51
BT,Puglia,57155,6.81
PZ,Basilicata,115181,3.25
MT,Basilicata,44854,4.44
CS,Calabria,209145,3.39
CZ,Calabria,108903,3.27
RC,Calabria,172559,3.16
KR,Calabria,56997,2.97
VV,Calabria,62243,2.59
TP,Sicilia,165001,2.59
PA,Sicilia,278539,4.43
ME,Sicilia,190912,3.36
AG,Sicilia,164333,2.7
CL,Sicilia,92436,2.94
EN,Sicilia,68060,2.53
CT,Sicilia,228837,4.68
RG,Sicilia,121813,2.51
SR,Sicilia,121488,3.27
SS,Sardegna,89301,3.64
NU,Sardegna,54138,2.91
CA,Sardegna,131587,4.15
OR,Sardegna,69551,2.32
OT,Sardegna,62119,2.4
OG,Sardegna,24090,2.36
VS,Sardegna,40045,2.51
CI,Sardegna,41479,3.08
